Feature,Compartment,Feature Group,Function,Channel,Function_Comment#1,Function_Comment#2,TP,FP,TN,FN,PPV,BA,AUC_ROC,AUC_PR,F1_Score,MCC,Sensitivity,Specificity
Cells_Correlation_Costes_AGP_DNA,Cells,Correlation,Costes,AGP,DNA,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_Correlation_Costes_AGP_ER,Cells,Correlation,Costes,AGP,ER,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Correlation_Costes_AGP_Mito,Cells,Correlation,Costes,AGP,Mito,,0,0,401,85,0,0.5,0.52,0.19,0,0,0,1
Cells_Correlation_Costes_AGP_RNA,Cells,Correlation,Costes,AGP,RNA,,0,0,401,85,0,0.5,0.55,0.19,0,0,0,1
Cells_Correlation_K_AGP_DNA,Cells,Correlation,K,AGP,DNA,,0,0,401,85,0,0.5,0.54,0.2,0,0,0,1
Cells_Correlation_K_AGP_ER,Cells,Correlation,K,AGP,ER,,0,0,401,85,0,0.5,0.56,0.2,0,0,0,1
Cells_Correlation_K_AGP_Mito,Cells,Correlation,K,AGP,Mito,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_Correlation_K_AGP_RNA,Cells,Correlation,K,AGP,RNA,,0,0,401,85,0,0.5,0.55,0.2,0,0,0,1
Cells_Correlation_Manders_AGP_DNA,Cells,Correlation,Manders,AGP,DNA,,0,0,401,85,0,0.5,0.58,0.2,0,0,0,1
Cells_Correlation_Manders_AGP_ER,Cells,Correlation,Manders,AGP,ER,,0,0,401,85,0,0.5,0.53,0.19,0,0,0,1
Cells_Correlation_Manders_AGP_Mito,Cells,Correlation,Manders,AGP,Mito,,0,0,401,85,0,0.5,0.5,0.17,0,0,0,1
Cells_Correlation_Manders_AGP_RNA,Cells,Correlation,Manders,AGP,RNA,,0,0,401,85,0,0.5,0.5,0.17,0,0,0,1
Cells_Correlation_RWC_AGP_DNA,Cells,Correlation,RWC,AGP,DNA,,0,0,401,85,0,0.5,0.53,0.18,0,0,0,1
Cells_Correlation_RWC_AGP_ER,Cells,Correlation,RWC,AGP,ER,,0,0,401,85,0,0.5,0.58,0.23,0,0,0,1
Cells_Correlation_RWC_AGP_Mito,Cells,Correlation,RWC,AGP,Mito,,8,3,398,77,0.73,0.54,0.54,0.23,0.17,0.22127821,0.09,0.99
Cells_Correlation_RWC_AGP_RNA,Cells,Correlation,RWC,AGP,RNA,,0,0,401,85,0,0.5,0.55,0.21,0,0,0,1
Cells_Granularity_1_AGP,Cells,Granularity,1,AGP,,,0,0,401,85,0,0.5,0.6,0.23,0,0,0,1
Cells_Granularity_10_AGP,Cells,Granularity,10,AGP,,,0,0,401,85,0,0.5,0.53,0.18,0,0,0,1
Cells_Granularity_11_AGP,Cells,Granularity,11,AGP,,,0,0,401,85,0,0.5,0.57,0.21,0,0,0,1
Cells_Granularity_12_AGP,Cells,Granularity,12,AGP,,,6,3,398,79,0.67,0.53,0.53,0.21,0.13,0.177819063,0.07,0.99
Cells_Granularity_13_AGP,Cells,Granularity,13,AGP,,,0,0,401,85,0,0.5,0.52,0.18,0,0,0,1
Cells_Granularity_14_AGP,Cells,Granularity,14,AGP,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
Cells_Granularity_15_AGP,Cells,Granularity,15,AGP,,,0,0,401,85,0,0.5,0.54,0.19,0,0,0,1
