smiles_r,StdInChI,y_proba_CP_Model,y_pred_CP_Model,y_proba_GO_Model,y_pred_GO_Model,y_proba_Morgan_Model,y_pred_Morgan_Model,y_proba_Early_Fusion_CP_GO_Model,y_pred_Early_Fusion_CP_GO_Model,y_proba_Early_Fusion_Morgan_CP,y_pred_Early_Fusion_Morgan_CP,y_proba_Early_Fusion_CP_GO_Morgan_Model,y_pred_Early_Fusion_CP_GO_Morgan_Model,y_proba_Late_Stage_Fusion_CP_GO_Morgan_Model,y_pred_Late_Stage_Fusion_CP_GO_Morgan_Model
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@@H]2N[C@@H](C(O)=NC2CCC2)[C@@H]1CO.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@@H]2N[C@@H](C(O)=NC2CCC2)[C@@H]1CO,"InChI=1S/2C19H25N3O3/c2*1-2-4-11-7-8-15-16-13(9-22(15)19(11)25)14(10-23)17(21-16)18(24)20-12-5-3-6-12/h2*2,4,7-8,12-14,16-17,21,23H,3,5-6,9-10H2,1H3,(H,20,24)/b4-2+;4-2-/t2*13-,14-,16+,17-/m11/s1",0.25,1,0.18,0,0.17,0,0.15,0,0.14,0,0.13,0,0.20000000000000004,1
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(=O)N(C)C)N(CCC(F)(F)F)[C@@H]21.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(=O)N(C)C)N(CCC(F)(F)F)[C@@H]21,"InChI=1S/2C20H26F3N3O3/c2*1-4-5-12-6-7-15-16-13(10-26(15)18(12)28)14(11-27)17(19(29)24(2)3)25(16)9-8-20(21,22)23/h2*4-7,13-14,16-17,27H,8-11H2,1-3H3/b5-4+;5-4-/t2*13-,14-,16+,17-/m00/s1",0.2,1,0.09,0,0.25,0,0.11,0,0.17,1,0.11,0,0.18000000000000002,1
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@@H]2N(CCC(F)(F)F)[C@@H](C(=O)N(C)C)[C@@H]1CO.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@@H]2N(CCC(F)(F)F)[C@@H](C(=O)N(C)C)[C@@H]1CO,"InChI=1S/2C20H26F3N3O3/c2*1-4-5-12-6-7-15-16-13(10-26(15)18(12)28)14(11-27)17(19(29)24(2)3)25(16)9-8-20(21,22)23/h2*4-7,13-14,16-17,27H,8-11H2,1-3H3/b5-4+;5-4-/t2*13-,14-,16+,17-/m11/s1",0.39,1,0.45,1,0.25,0,0.35,1,0.21,1,0.3,1,0.36333333333333334,1
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(=O)O)[C@@H]2N1S(=O)(=O)c1ccccc1F.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(=O)O)[C@@H]2N1S(=O)(=O)c1ccccc1F,"InChI=1S/2C21H21FN2O6S/c2*1-2-5-12-8-9-15-19-18(21(27)28)13(11-25)16(10-23(15)20(12)26)24(19)31(29,30)17-7-4-3-6-14(17)22/h2*2-9,13,16,18-19,25H,10-11H2,1H3,(H,27,28)/b5-2+;5-2-/t2*13-,16-,18+,19+/m00/s1",0.23,1,0.12,0,0.1,0,0.15,0,0.19,1,0.12,0,0.15,0
C/C=C/c1ccc2n(c1=O)C[C@@H]1[C@@H](CO)[C@H](C(=O)O)[C@H]2N1S(=O)(=O)c1ccccc1F.C/C=C\c1ccc2n(c1=O)C[C@@H]1[C@@H](CO)[C@H](C(=O)O)[C@H]2N1S(=O)(=O)c1ccccc1F,"InChI=1S/2C21H21FN2O6S/c2*1-2-5-12-8-9-15-19-18(21(27)28)13(11-25)16(10-23(15)20(12)26)24(19)31(29,30)17-7-4-3-6-14(17)22/h2*2-9,13,16,18-19,25H,10-11H2,1H3,(H,27,28)/b5-2+;5-2-/t2*13-,16-,18+,19+/m11/s1",0.2,1,0.14,0,0.1,0,0.19,0,0.21,1,0.2,1,0.1466666666666667,0
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(O)=NCc3ccccn3)[C@@H]2N1C.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(O)=NCc3ccccn3)[C@@H]2N1C,"InChI=1S/2C22H26N4O3/c2*1-3-6-14-8-9-17-20-19(21(28)24-11-15-7-4-5-10-23-15)16(13-27)18(25(20)2)12-26(17)22(14)29/h2*3-10,16,18-20,27H,11-13H2,1-2H3,(H,24,28)/b6-3+;6-3-/t2*16-,18-,19+,20+/m00/s1",0.42,1,0.24,1,0.13,0,0.33,1,0.35,1,0.29,1,0.26333333333333336,1
C/C=C/c1ccc2n(c1=O)C[C@@H]1[C@@H](CO)[C@H](C(O)=NCc3ccccn3)[C@H]2N1C.C/C=C\c1ccc2n(c1=O)C[C@@H]1[C@@H](CO)[C@H](C(O)=NCc3ccccn3)[C@H]2N1C,"InChI=1S/2C22H26N4O3/c2*1-3-6-14-8-9-17-20-19(21(28)24-11-15-7-4-5-10-23-15)16(13-27)18(25(20)2)12-26(17)22(14)29/h2*3-10,16,18-20,27H,11-13H2,1-2H3,(H,24,28)/b6-3+;6-3-/t2*16-,18-,19+,20+/m11/s1",0.15,1,0.11,0,0.13,0,0.19,0,0.18,1,0.18,0,0.13,0
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(O)=NCCC)N(Cc3cocn3)[C@@H]21.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(O)=NCCC)N(Cc3cocn3)[C@@H]21,"InChI=1S/2C22H28N4O4/c2*1-3-5-14-6-7-18-19-16(10-25(18)22(14)29)17(11-27)20(21(28)23-8-4-2)26(19)9-15-12-30-13-24-15/h2*3,5-7,12-13,16-17,19-20,27H,4,8-11H2,1-2H3,(H,23,28)/b5-3+;5-3-/t2*16-,17-,19+,20-/m00/s1",0.43,1,0.2,0,0.34,1,0.38,1,0.46,1,0.39,1,0.3233333333333333,1
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@@H]2N(Cc2cocn2)[C@@H](C(O)=NCCC)[C@@H]1CO.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@@H]2N(Cc2cocn2)[C@@H](C(O)=NCCC)[C@@H]1CO,"InChI=1S/2C22H28N4O4/c2*1-3-5-14-6-7-18-19-16(10-25(18)22(14)29)17(11-27)20(21(28)23-8-4-2)26(19)9-15-12-30-13-24-15/h2*3,5-7,12-13,16-17,19-20,27H,4,8-11H2,1-2H3,(H,23,28)/b5-3+;5-3-/t2*16-,17-,19+,20-/m11/s1",0.45,1,0.25,1,0.34,1,0.37,1,0.32,1,0.31,1,0.3466666666666667,1
C/C=C/c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(O)=NCCOC)[C@@H]2N1Cc1nccs1.C/C=C\c1ccc2n(c1=O)C[C@H]1[C@H](CO)[C@@H](C(O)=NCCOC)[C@@H]2N1Cc1nccs1,"InChI=1S/2C22H28N4O4S/c2*1-3-4-14-5-6-16-20-19(21(28)24-7-9-30-2)15(13-27)17(11-26(16)22(14)29)25(20)12-18-23-8-10-31-18/h2*3-6,8,10,15,17,19-20,27H,7,9,11-13H2,1-2H3,(H,24,28)/b4-3+;4-3-/t2*15-,17-,19+,20+/m00/s1",0.24,1,0.11,0,0.16,0,0.16,0,0.27,1,0.18,0,0.17,1
